[7/100000] [12/1/2014 9:30:0] TRADE   	[last:105.72  	lastsize:100  	lastexch:66  	cond:0
[8/100000] [12/1/2014 9:30:0] TRADE   	[last:105.72  	lastsize:100  	lastexch:66  	cond:0
[9/100000] [12/1/2014 9:30:0] TRADE   	[last:105.72  	lastsize:100  	lastexch:66  	cond:0
[10/100000] [12/1/2014 9:30:0] TRADE   	[last:105.72  	lastsize:100  	lastexch:89  	cond:0
[11/100000] [12/1/2014 9:30:0] TRADE   	[last:105.72  	lastsize:3000  	lastexch:89  	cond:0
[21/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:200  	lastexch:81  	cond:0
[22/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:300  	lastexch:81  	cond:0
[68/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:99355  	lastexch:81  	cond:9
[69/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:99355  	lastexch:81  	cond:0
[73/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:100  	lastexch:90  	cond:0
[81/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:45  	lastexch:68  	cond:37
[86/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:1000  	lastexch:90  	cond:0
[123/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:100  	lastexch:75  	cond:0
[124/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:100  	lastexch:75  	cond:0
[125/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:100  	lastexch:75  	cond:0
[127/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:100  	lastexch:75  	cond:0
[128/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:100  	lastexch:75  	cond:0
[139/100000] [12/1/2014 9:30:0] TRADE   	[last:105.72  	lastsize:100  	lastexch:74  	cond:0
[140/100000] [12/1/2014 9:30:0] TRADE   	[last:105.72  	lastsize:100  	lastexch:74  	cond:0
[141/100000] [12/1/2014 9:30:0] TRADE   	[last:105.72  	lastsize:100  	lastexch:74  	cond:0
[144/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:100  	lastexch:74  	cond:0
[159/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:100  	lastexch:74  	cond:0
[166/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:1400  	lastexch:74  	cond:0
[167/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:100  	lastexch:74  	cond:0
[168/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:200  	lastexch:75  	cond:0
[169/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:500  	lastexch:75  	cond:0
[183/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:200  	lastexch:80  	cond:0
[184/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:200  	lastexch:80  	cond:0
[186/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:100  	lastexch:74  	cond:0
[187/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:30  	lastexch:81  	cond:0
[192/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:100  	lastexch:90  	cond:0
[193/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:100  	lastexch:90  	cond:0
[194/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:30  	lastexch:81  	cond:0
