[1/5404] [12/1/2014 9:30:0] QUOTE   	[bid:11.75  	ask:11.82   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[4/5404] [12/1/2014 9:30:32] QUOTE   	[bid:11.75  	ask:11.81   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[5/5404] [12/1/2014 9:30:33] QUOTE   	[bid:11.75  	ask:11.81   	bidsize:2  	asksize:1  	bidexch:81  	askexch:90  	cond:0
[15/5404] [12/1/2014 9:31:42] QUOTE   	[bid:11.75  	ask:11.80   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[16/5404] [12/1/2014 9:31:42] QUOTE   	[bid:11.75  	ask:11.79   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[17/5404] [12/1/2014 9:31:42] QUOTE   	[bid:11.75  	ask:11.79   	bidsize:2  	asksize:1  	bidexch:81  	askexch:90  	cond:0
[19/5404] [12/1/2014 9:31:53] QUOTE   	[bid:11.75  	ask:11.78   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[20/5404] [12/1/2014 9:31:57] QUOTE   	[bid:11.75  	ask:11.79   	bidsize:2  	asksize:1  	bidexch:81  	askexch:90  	cond:0
[22/5404] [12/1/2014 9:32:0] QUOTE   	[bid:11.76  	ask:11.79   	bidsize:1  	asksize:1  	bidexch:81  	askexch:90  	cond:0
[23/5404] [12/1/2014 9:32:0] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:1  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[26/5404] [12/1/2014 9:32:3] QUOTE   	[bid:11.78  	ask:11.82   	bidsize:1  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[27/5404] [12/1/2014 9:32:7] QUOTE   	[bid:11.79  	ask:11.82   	bidsize:1  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[29/5404] [12/1/2014 9:32:10] QUOTE   	[bid:11.79  	ask:11.83   	bidsize:1  	asksize:4  	bidexch:81  	askexch:81  	cond:0
[30/5404] [12/1/2014 9:32:10] QUOTE   	[bid:11.79  	ask:11.83   	bidsize:1  	asksize:3  	bidexch:81  	askexch:81  	cond:0
[34/5404] [12/1/2014 9:32:26] QUOTE   	[bid:11.80  	ask:11.83   	bidsize:1  	asksize:3  	bidexch:81  	askexch:81  	cond:0
[36/5404] [12/1/2014 9:32:36] QUOTE   	[bid:11.81  	ask:11.83   	bidsize:1  	asksize:3  	bidexch:75  	askexch:81  	cond:0
[38/5404] [12/1/2014 9:32:41] QUOTE   	[bid:11.81  	ask:11.91   	bidsize:1  	asksize:1  	bidexch:75  	askexch:90  	cond:0
[40/5404] [12/1/2014 9:32:41] QUOTE   	[bid:11.81  	ask:11.91   	bidsize:1  	asksize:1  	bidexch:75  	askexch:89  	cond:0
[41/5404] [12/1/2014 9:32:41] QUOTE   	[bid:11.81  	ask:11.91   	bidsize:1  	asksize:1  	bidexch:75  	askexch:74  	cond:0
[42/5404] [12/1/2014 9:32:41] QUOTE   	[bid:11.81  	ask:11.92   	bidsize:1  	asksize:6  	bidexch:75  	askexch:81  	cond:0
