[2/5404] [12/1/2014 9:30:0] TRADE   	[last:11.81  	lastsize:499  	lastexch:81  	cond:9
[3/5404] [12/1/2014 9:30:0] TRADE   	[last:11.81  	lastsize:499  	lastexch:81  	cond:0
[6/5404] [12/1/2014 9:30:37] TRADE   	[last:11.81  	lastsize:82  	lastexch:68  	cond:0
[7/5404] [12/1/2014 9:30:37] TRADE   	[last:11.78  	lastsize:100  	lastexch:75  	cond:0
[8/5404] [12/1/2014 9:31:2] TRADE   	[last:11.81  	lastsize:200  	lastexch:68  	cond:0
[9/5404] [12/1/2014 9:31:2] TRADE   	[last:11.81  	lastsize:100  	lastexch:68  	cond:0
[10/5404] [12/1/2014 9:31:3] TRADE   	[last:11.81  	lastsize:100  	lastexch:68  	cond:0
[11/5404] [12/1/2014 9:31:26] TRADE   	[last:11.75  	lastsize:88  	lastexch:68  	cond:0
[12/5404] [12/1/2014 9:31:27] TRADE   	[last:11.765  	lastsize:100  	lastexch:68  	cond:0
[13/5404] [12/1/2014 9:31:27] TRADE   	[last:11.78  	lastsize:100  	lastexch:68  	cond:0
[14/5404] [12/1/2014 9:31:38] TRADE   	[last:11.78  	lastsize:100  	lastexch:68  	cond:0
[18/5404] [12/1/2014 9:31:50] TRADE   	[last:11.79  	lastsize:100  	lastexch:68  	cond:0
[21/5404] [12/1/2014 9:31:58] TRADE   	[last:11.78  	lastsize:500  	lastexch:68  	cond:0
[24/5404] [12/1/2014 9:32:0] TRADE   	[last:11.79  	lastsize:400  	lastexch:80  	cond:0
[25/5404] [12/1/2014 9:32:0] TRADE   	[last:11.79  	lastsize:400  	lastexch:80  	cond:0
[28/5404] [12/1/2014 9:32:10] TRADE   	[last:11.82  	lastsize:100  	lastexch:68  	cond:0
[31/5404] [12/1/2014 9:32:10] TRADE   	[last:11.82  	lastsize:100  	lastexch:81  	cond:0
[32/5404] [12/1/2014 9:32:10] TRADE   	[last:11.83  	lastsize:100  	lastexch:81  	cond:0
[33/5404] [12/1/2014 9:32:20] TRADE   	[last:11.81  	lastsize:1  	lastexch:68  	cond:37
[35/5404] [12/1/2014 9:32:36] TRADE   	[last:11.81  	lastsize:1  	lastexch:68  	cond:0
[37/5404] [12/1/2014 9:32:39] TRADE   	[last:11.82  	lastsize:100  	lastexch:68  	cond:0
[39/5404] [12/1/2014 9:32:41] TRADE   	[last:11.83  	lastsize:300  	lastexch:81  	cond:0
[47/5404] [12/1/2014 9:32:43] TRADE   	[last:11.85  	lastsize:100  	lastexch:81  	cond:0
[48/5404] [12/1/2014 9:32:43] TRADE   	[last:11.84  	lastsize:100  	lastexch:81  	cond:0
[49/5404] [12/1/2014 9:32:43] TRADE   	[last:11.83  	lastsize:100  	lastexch:81  	cond:0
[50/5404] [12/1/2014 9:32:43] TRADE   	[last:11.82  	lastsize:350  	lastexch:68  	cond:0
[72/5404] [12/1/2014 9:33:9] TRADE   	[last:11.8601  	lastsize:10  	lastexch:68  	cond:0
[73/5404] [12/1/2014 9:33:15] TRADE   	[last:11.87  	lastsize:100  	lastexch:68  	cond:0
[75/5404] [12/1/2014 9:33:18] TRADE   	[last:11.86  	lastsize:100  	lastexch:68  	cond:0
[79/5404] [12/1/2014 9:33:42] TRADE   	[last:11.84  	lastsize:100  	lastexch:68  	cond:0
[80/5404] [12/1/2014 9:33:42] TRADE   	[last:11.845  	lastsize:100  	lastexch:68  	cond:0
[81/5404] [12/1/2014 9:33:42] TRADE   	[last:11.84  	lastsize:100  	lastexch:68  	cond:0
[82/5404] [12/1/2014 9:33:42] TRADE   	[last:11.845  	lastsize:100  	lastexch:68  	cond:0
[83/5404] [12/1/2014 9:33:42] TRADE   	[last:11.845  	lastsize:100  	lastexch:68  	cond:0
[84/5404] [12/1/2014 9:33:42] TRADE   	[last:11.8305  	lastsize:200  	lastexch:68  	cond:0
[85/5404] [12/1/2014 9:33:42] TRADE   	[last:11.8305  	lastsize:100  	lastexch:68  	cond:0
[86/5404] [12/1/2014 9:33:42] TRADE   	[last:11.8305  	lastsize:100  	lastexch:68  	cond:0
[87/5404] [12/1/2014 9:33:42] TRADE   	[last:11.8305  	lastsize:100  	lastexch:68  	cond:0
[88/5404] [12/1/2014 9:33:42] TRADE   	[last:11.8305  	lastsize:100  	lastexch:68  	cond:0
[89/5404] [12/1/2014 9:33:42] TRADE   	[last:11.8305  	lastsize:100  	lastexch:68  	cond:0
[90/5404] [12/1/2014 9:33:42] TRADE   	[last:11.83  	lastsize:100  	lastexch:68  	cond:0
[92/5404] [12/1/2014 9:33:42] TRADE   	[last:11.83  	lastsize:100  	lastexch:75  	cond:0
[93/5404] [12/1/2014 9:33:42] TRADE   	[last:11.845  	lastsize:200  	lastexch:68  	cond:0
[101/5404] [12/1/2014 9:33:50] TRADE   	[last:11.75  	lastsize:100  	lastexch:81  	cond:0
[103/5404] [12/1/2014 9:33:50] TRADE   	[last:11.8075  	lastsize:100  	lastexch:68  	cond:0
[104/5404] [12/1/2014 9:33:50] TRADE   	[last:11.8075  	lastsize:100  	lastexch:68  	cond:0
[105/5404] [12/1/2014 9:33:50] TRADE   	[last:11.79  	lastsize:100  	lastexch:68  	cond:0
[106/5404] [12/1/2014 9:33:50] TRADE   	[last:11.825  	lastsize:100  	lastexch:68  	cond:0
[107/5404] [12/1/2014 9:33:50] TRADE   	[last:11.7975  	lastsize:100  	lastexch:68  	cond:0
[115/5404] [12/1/2014 9:34:46] TRADE   	[last:11.81  	lastsize:100  	lastexch:89  	cond:0
