[5/47861] [12/1/2014 9:30:0] TRADE   	[last:56.88  	lastsize:20142  	lastexch:78  	cond:0
[11/47861] [12/1/2014 9:30:0] TRADE   	[last:56.80  	lastsize:34  	lastexch:80  	cond:16
[12/47861] [12/1/2014 9:30:0] TRADE   	[last:56.80  	lastsize:34  	lastexch:80  	cond:37
[19/47861] [12/1/2014 9:30:1] TRADE   	[last:56.88  	lastsize:100  	lastexch:75  	cond:0
[20/47861] [12/1/2014 9:30:1] TRADE   	[last:56.90  	lastsize:100  	lastexch:75  	cond:0
[21/47861] [12/1/2014 9:30:1] TRADE   	[last:56.91  	lastsize:87  	lastexch:78  	cond:37
[25/47861] [12/1/2014 9:30:2] TRADE   	[last:56.90  	lastsize:100  	lastexch:75  	cond:0
[26/47861] [12/1/2014 9:30:2] TRADE   	[last:56.91  	lastsize:100  	lastexch:75  	cond:0
[28/47861] [12/1/2014 9:30:2] TRADE   	[last:56.92  	lastsize:395  	lastexch:75  	cond:0
[32/47861] [12/1/2014 9:30:2] TRADE   	[last:56.92  	lastsize:100  	lastexch:75  	cond:0
[33/47861] [12/1/2014 9:30:2] TRADE   	[last:56.92  	lastsize:100  	lastexch:75  	cond:0
[35/47861] [12/1/2014 9:30:2] TRADE   	[last:56.96  	lastsize:100  	lastexch:68  	cond:0
[37/47861] [12/1/2014 9:30:2] TRADE   	[last:56.96  	lastsize:100  	lastexch:68  	cond:0
[38/47861] [12/1/2014 9:30:2] TRADE   	[last:56.96  	lastsize:100  	lastexch:84  	cond:0
[39/47861] [12/1/2014 9:30:2] TRADE   	[last:56.96  	lastsize:100  	lastexch:84  	cond:16
[42/47861] [12/1/2014 9:30:2] TRADE   	[last:56.96  	lastsize:100  	lastexch:78  	cond:0
[43/47861] [12/1/2014 9:30:2] TRADE   	[last:56.81  	lastsize:200  	lastexch:78  	cond:0
[44/47861] [12/1/2014 9:30:2] TRADE   	[last:56.96  	lastsize:100  	lastexch:68  	cond:0
[45/47861] [12/1/2014 9:30:2] TRADE   	[last:56.96  	lastsize:100  	lastexch:68  	cond:0
[48/47861] [12/1/2014 9:30:3] TRADE   	[last:56.97  	lastsize:100  	lastexch:78  	cond:0
[49/47861] [12/1/2014 9:30:3] TRADE   	[last:56.98  	lastsize:100  	lastexch:78  	cond:0
[50/47861] [12/1/2014 9:30:3] TRADE   	[last:56.97  	lastsize:100  	lastexch:68  	cond:0
[53/47861] [12/1/2014 9:30:5] TRADE   	[last:56.88  	lastsize:9  	lastexch:68  	cond:37
[55/47861] [12/1/2014 9:30:6] TRADE   	[last:56.88  	lastsize:10  	lastexch:68  	cond:37
[56/47861] [12/1/2014 9:30:6] TRADE   	[last:56.88  	lastsize:1885  	lastexch:68  	cond:0
[57/47861] [12/1/2014 9:30:6] TRADE   	[last:56.98  	lastsize:100  	lastexch:68  	cond:0
[58/47861] [12/1/2014 9:30:6] TRADE   	[last:57.00  	lastsize:100  	lastexch:68  	cond:0
[60/47861] [12/1/2014 9:30:7] TRADE   	[last:56.90  	lastsize:100  	lastexch:66  	cond:0
[81/47861] [12/1/2014 9:30:29] TRADE   	[last:56.81  	lastsize:333  	lastexch:68  	cond:0
[83/47861] [12/1/2014 9:30:30] TRADE   	[last:56.83  	lastsize:15  	lastexch:66  	cond:37
[86/47861] [12/1/2014 9:30:32] TRADE   	[last:56.81  	lastsize:200  	lastexch:68  	cond:0
[91/47861] [12/1/2014 9:30:35] TRADE   	[last:56.8102  	lastsize:80  	lastexch:68  	cond:37
[92/47861] [12/1/2014 9:30:35] TRADE   	[last:56.96  	lastsize:100  	lastexch:68  	cond:0
[103/47861] [12/1/2014 9:30:40] TRADE   	[last:56.88  	lastsize:1  	lastexch:68  	cond:37
[128/47861] [12/1/2014 9:30:51] TRADE   	[last:56.94  	lastsize:26  	lastexch:75  	cond:37
