[12/100000] [12/1/2014 9:30:0] TRADE   	[last:206.39  	lastsize:100  	lastexch:84  	cond:0
[65/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:500  	lastexch:84  	cond:0
[66/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:400  	lastexch:84  	cond:0
[67/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:100  	lastexch:84  	cond:0
[130/100000] [12/1/2014 9:30:0] TRADE   	[last:206.40  	lastsize:200  	lastexch:90  	cond:0
[131/100000] [12/1/2014 9:30:0] TRADE   	[last:206.40  	lastsize:100  	lastexch:90  	cond:0
[178/100000] [12/1/2014 9:30:0] TRADE   	[last:206.40  	lastsize:1000  	lastexch:74  	cond:0
[179/100000] [12/1/2014 9:30:0] TRADE   	[last:206.40  	lastsize:100  	lastexch:74  	cond:0
[180/100000] [12/1/2014 9:30:0] TRADE   	[last:206.40  	lastsize:100  	lastexch:74  	cond:0
[181/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:100  	lastexch:74  	cond:0
[182/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:100  	lastexch:74  	cond:0
[183/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:100  	lastexch:74  	cond:0
[184/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:700  	lastexch:74  	cond:0
[221/100000] [12/1/2014 9:30:0] TRADE   	[last:206.40  	lastsize:600  	lastexch:75  	cond:0
[229/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:100  	lastexch:66  	cond:0
[230/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:100  	lastexch:89  	cond:0
[231/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:100  	lastexch:66  	cond:0
[232/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:100  	lastexch:89  	cond:0
[233/100000] [12/1/2014 9:30:0] TRADE   	[last:206.40  	lastsize:3900  	lastexch:75  	cond:0
[234/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:100  	lastexch:75  	cond:0
[235/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:100  	lastexch:75  	cond:0
[246/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:100  	lastexch:75  	cond:0
[247/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:100  	lastexch:75  	cond:0
[248/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:100  	lastexch:75  	cond:0
[249/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:100  	lastexch:75  	cond:0
[250/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:100  	lastexch:75  	cond:0
[251/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:700  	lastexch:75  	cond:0
[252/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:3400  	lastexch:75  	cond:0
[253/100000] [12/1/2014 9:30:0] TRADE   	[last:206.40  	lastsize:100  	lastexch:84  	cond:0
[254/100000] [12/1/2014 9:30:0] TRADE   	[last:206.40  	lastsize:400  	lastexch:84  	cond:0
[265/100000] [12/1/2014 9:30:0] TRADE   	[last:206.40  	lastsize:700  	lastexch:75  	cond:0
